Frequency	amp(Vo1)	phase(Vo1)	amp(iL1)	phase(iL1)
100	39.6035	174.429	-41.6181	177.04
109.639	39.5946	173.895	-40.4856	176.342
120.207	39.5839	173.311	-39.2957	176.094
131.794	39.5711	172.675	-38.0437	174.619
144.498	39.5558	171.982	-36.7398	172.988
158.427	39.5374	171.219	-35.4295	172.943
173.698	39.5153	170.39	-34.0651	171.812
190.441	39.489	169.485	-32.6775	170.806
208.798	39.4576	168.501	-31.2661	169.459
228.924	39.4202	167.43	-29.8454	168.426
250.99	39.3755	166.268	-28.3903	166.972
275.183	39.3225	165.01	-26.9405	165.572
301.709	39.2597	163.648	-25.4898	164.113
330.791	39.1852	162.179	-24.0271	162.448
362.676	39.0975	160.6	-22.5705	160.618
397.635	38.9943	158.91	-21.1263	158.827
435.964	38.8734	157.106	-19.6769	156.732
477.987	38.7324	155.188	-18.2512	154.61
524.061	38.5688	153.162	-16.85	152.487
574.576	38.3801	151.034	-15.4744	150.334
629.961	38.1635	148.814	-14.0864	147.651
690.683	37.9169	146.512	-12.7403	145.084
757.259	37.6378	144.157	-11.463	142.749
830.253	37.325	141.739	-10.1543	139.843
910.282	36.9758	139.301	-8.89504	137.115
998.026	36.5913	136.876	-7.68728	134.41
1094.23	36.1696	134.454	-6.49543	131.684
1199.7	35.7118	132.089	-5.34487	129.022
1315.34	35.2195	129.782	-4.19442	126.182
1442.13	34.6936	127.592	-3.12961	123.725
1581.14	34.1363	125.51	-2.06367	121.204
1733.55	33.5501	123.562	-1.02507	118.805
1900.65	32.9376	121.755	0.00100318	116.485
2083.85	32.3001	120.079	0.976355	114.36
2284.72	31.6453	118.645	2.01108	112.134
2504.95	30.9702	117.332	3.0301	110.062
2746.4	30.2812	116.271	4.00213	108.222
3011.13	29.5793	115.394	5.0076	106.399
3301.38	28.8689	114.74	6.01205	104.765
3619.6	28.1529	114.34	7.04929	103.163
3968.5	27.434	114.203	8.12303	101.61
4351.03	26.7185	114.448	9.23319	100.167
4770.44	26.0092	114.959	10.4073	98.8059
5230.26	25.2763	115.846	11.6585	97.4209
5734.42	24.7584	117.359	12.9872	96.4105
6287.17	24.1211	120.197	14.4992	95.0366
6893.2	23.626	123.648	16.2206	93.701
7557.64	23.3689	128.871	18.2913	92.2838
8286.14	23.553	136.447	20.841	90.9624
9084.85	24.7656	147.362	24.4037	89.2781
9960.55	28.8831	158.133	30.3044	82.6965
10920.7	46.8552	120.866	49.418	26.5663
11973.3	23.2223	6.25442	28.1758	-119.614
13000	22.7733	39.3983	24.8386	-88.11
13127.4	22.5048	36.0812	24.833	-92.5475
14000	20.5257	43.8911	22.1572	-91.9126
14392.8	19.8986	46.3754	21.2285	-91.891
15000	18.7739	48.353	20.0112	-94.6805
15400	18.5509	51.6196	19.1985	-92.3227
15500	18.3195	51.6913	18.9495	-92.9845
15600	18.0169	51.6817	18.813	-94.5173
15780.2	17.9598	51.7354	18.6245	-94.4768
16000	17.672	52.4777	18.2422	-95.6959
17000	16.2926	53.8787	16.4875	-97.7469
17301.2	16.1851	55.4092	16.2385	-97.1946
18000	16.0282	57.8447	15.7832	-96.3294
18968.9	15.3249	59.5819	14.7973	-97.1084
19000	15.3497	59.5487	14.8216	-96.9205
20797.4	14.2831	61.1653	13.3265	-98.6823
22802.1	13.3637	62.4545	11.974	-99.7114
25000	12.638	59.1247	10.6741	-100.814
